id,title,description,platform,duration,skill_level,type,category,url
1,"Machine Learning Fundamentals","Learn the basics of machine learning including supervised and unsupervised learning algorithms","Coursera","8 weeks","Beginner","Free","AI","https://coursera.org/learn/machine-learning"
2,"Deep Learning Specialization","Master deep neural networks and their applications in computer vision and NLP","Coursera","16 weeks","Advanced","Paid","AI","https://coursera.org/specializations/deep-learning"
3,"Python for Data Science","Complete introduction to Python programming for data analysis and visualization","edX","6 weeks","Beginner","Free","Data Science","https://edx.org/course/python-data-science"
4,"Full Stack Web Development","Build modern web applications using React, Node.js, and MongoDB","Udemy","12 weeks","Intermediate","Paid","Web Dev","https://udemy.com/course/full-stack-web-development"
5,"React Complete Guide","Master React.js from basics to advanced concepts including hooks and context","Udemy","10 weeks","Intermediate","Paid","Web Dev","https://udemy.com/course/react-complete-guide"
6,"AWS Cloud Practitioner","Learn Amazon Web Services fundamentals and prepare for certification","AWS Training","4 weeks","Beginner","Free","Cloud","https://aws.amazon.com/training/cloud-practitioner"
7,"Cybersecurity Fundamentals","Introduction to cybersecurity principles, threats, and defense strategies","Coursera","6 weeks","Beginner","Free","Security","https://coursera.org/learn/cybersecurity-fundamentals"
8,"UI/UX Design Principles","Learn user interface and user experience design fundamentals","Figma Academy","5 weeks","Beginner","Free","Design","https://figma.com/academy/ui-ux-design"
9,"Mobile App Development with Flutter","Build cross-platform mobile apps using Google's Flutter framework","Udacity","8 weeks","Intermediate","Paid","Mobile Dev","https://udacity.com/course/flutter-development"
10,"DevOps Engineering","Learn continuous integration, deployment, and infrastructure as code","Pluralsight","10 weeks","Advanced","Paid","DevOps","https://pluralsight.com/courses/devops-engineering"
11,"SQL Database Design","Master database design principles and advanced SQL queries","Khan Academy","4 weeks","Intermediate","Free","Database","https://khanacademy.org/computing/sql"
12,"Blockchain Development","Build decentralized applications using Ethereum and Solidity","Udemy","12 weeks","Advanced","Paid","Blockchain","https://udemy.com/course/blockchain-development"
13,"Natural Language Processing","Learn NLP techniques for text analysis and language understanding","Stanford Online","8 weeks","Advanced","Free","AI","https://online.stanford.edu/courses/cs224n-natural-language-processing"
14,"Data Visualization with D3.js","Create interactive data visualizations using D3.js library","Observable","6 weeks","Intermediate","Free","Data Science","https://observablehq.com/collection/@observablehq/learn-d3"
15,"Vue.js Complete Course","Master Vue.js framework for building modern web applications","Vue Mastery","8 weeks","Intermediate","Paid","Web Dev","https://vuemastery.com/courses/intro-to-vue-3"
16,"Google Cloud Platform Essentials","Learn GCP services and cloud computing fundamentals","Google Cloud","5 weeks","Beginner","Free","Cloud","https://cloud.google.com/training/courses"
17,"Ethical Hacking","Learn penetration testing and ethical hacking techniques","Cybrary","10 weeks","Advanced","Paid","Security","https://cybrary.it/course/ethical-hacking"
18,"Adobe Creative Suite","Master Photoshop, Illustrator, and InDesign for graphic design","Adobe","8 weeks","Beginner","Paid","Design","https://adobe.com/creativecloud/learn"
19,"iOS Development with Swift","Build native iOS applications using Swift programming language","Apple Developer","12 weeks","Intermediate","Free","Mobile Dev","https://developer.apple.com/swift"
20,"Kubernetes Administration","Learn container orchestration and Kubernetes cluster management","Linux Academy","8 weeks","Advanced","Paid","DevOps","https://linuxacademy.com/course/kubernetes-administration"
21,"MongoDB Database Administration","Master NoSQL database design and administration with MongoDB","MongoDB University","6 weeks","Intermediate","Free","Database","https://university.mongodb.com"
22,"Cryptocurrency Trading","Learn cryptocurrency markets and trading strategies","Binance Academy","4 weeks","Beginner","Free","Blockchain","https://academy.binance.com/en/courses/cryptocurrency-trading"
23,"Computer Vision with OpenCV","Learn image processing and computer vision techniques","OpenCV","10 weeks","Advanced","Free","AI","https://opencv.org/courses"
24,"Tableau Data Analysis","Create powerful data visualizations and dashboards with Tableau","Tableau Learning","5 weeks","Beginner","Free","Data Science","https://tableau.com/learn"
25,"Angular Complete Guide","Master Angular framework for building enterprise web applications","Udemy","14 weeks","Intermediate","Paid","Web Dev","https://udemy.com/course/angular-complete-guide"
26,"Microsoft Azure Fundamentals","Learn Microsoft Azure cloud services and architecture","Microsoft Learn","6 weeks","Beginner","Free","Cloud","https://docs.microsoft.com/learn/azure"
27,"Network Security","Advanced network security concepts and implementation","SANS Institute","8 weeks","Advanced","Paid","Security","https://sans.org/cyber-security-courses/network-security"
28,"Sketch for UI Design","Learn Sketch application for user interface design","Sketch","4 weeks","Beginner","Paid","Design","https://sketch.com/learn"
29,"Android Development with Kotlin","Build native Android apps using Kotlin programming language","Google Developers","10 weeks","Intermediate","Free","Mobile Dev","https://developers.google.com/courses/android-kotlin"
30,"Docker Containerization","Learn containerization with Docker and container orchestration","Docker","6 weeks","Intermediate","Free","DevOps","https://docker.com/get-started"
31,"PostgreSQL Advanced","Advanced PostgreSQL database administration and optimization","PostgreSQL Tutorial","8 weeks","Advanced","Free","Database","https://postgresqltutorial.com"
32,"Smart Contract Development","Build and deploy smart contracts on blockchain platforms","ConsenSys Academy","10 weeks","Advanced","Paid","Blockchain","https://consensys.net/academy"
33,"Reinforcement Learning","Learn reinforcement learning algorithms and applications","DeepMind","12 weeks","Advanced","Free","AI","https://deepmind.com/learning-resources"
